bar_index,piano_right_hand
1,e''4 g'' e'' c''
2,r8 e''8 g'' [f''] e'' [g''] e'' c''
3,e''2. c''4
4,c''4 g' e'' c''
5,r4 c''8 d'' e''4 c''4
6,e''8 [f''] g'' [f''] f'' [e''] e'' c''
7,c''2 e''2
8,r8 c''8 c'' [d''] e'' [e''] d'' c''
9,c''4 c''8 [d''] e'' [d''] e'' c''
10,d''4 g' g''2
11,g''8 [a''] g'' fis'' g''2
12,e''8 [g'] g'' fis'' g''2
13,d''4 d'' g''2
14,d''4 g''8 fis''8 g''2
15,d''2 g''
16,g''8 [g'] g'' g'' g''2
17,d''8 [d''] g'' fis'' g''2
18,g''4 g' g''2
19,g''8 [a''] b'' c''' f''2
20,g''4 c'' f''2
21,g''8 [c''] d'' e'' f''4 f''
22,g''8 [c''] b' c'' f''2
23,g''8 [g''] c'''8 g'' f''4 f''4
24,g''2 f''
25,g''8 [g''] f'' e'' f''2
26,g''8 [e''] d'' c'' f''4 f''
27,g''8 [c''] f'' e'' f''2
28,f''4 f'' e''8 [c''] a'' c''
29,f''4 e''8 d'' e''4 c''
30,f''8 [f''] e'' [d''] e'' [e''] d'' c''
31,f''4 e''8 [d''] e'' [g''] e'' c''
32,f''4 f''4 (f''8) [e''] d'' c''
33,f''4. f''8 e'' [d''] e'' c''
34,f''4 f''2 e''4
35,f''4 f'' e'' a''
36,f''8 [b'] c'' [d''] e'' [g''] f'' e''
37,d''2. c''8 d''
38,d''4 g''8 a'' g''4. f''8
39,d''2 d''2
40,d''1
41,d''4 g''2 f''8 g''8
42,d''4 d''8 [c''] d'' e'' f''4
43,d''4 g'4 g'' f''
44,d''4 g'' g' f''
45,d''4 g''8 [a''] g'' [a''] f'' g''
46,e''8 [f''] d'' e'' c''2
47,e''8 [f''] e'' d'' c''2
48,e''4 d''8 e'' c''2
49,e''8 [d''] e'' d'' c''2
50,e''8 [f''] g'' e'' c''2
51,e''8 [g''] e'' d'' c''2
52,e''8 [c''] e'' d'' c''2
53,e''4. d''8 c''2
54,e''8 [c'''] g'' e'' c''2
