bar_index,piano_left_hand
1,r2 c'4 c'
2,c'2. c'4
3,c'4 e'8 d'8 c'4 c'4
4,c2 c'2
5,r2 c'2
6,r4 e8 d c4 c'4
7,c'1
8,c4 e8 g8 c'4 c'
9,c'8 [c8] e g c'4 c'
10,c'4 b8 a b4 g
11,c'4 c' b b
12,c'8 [c'8] b [a] c' [b] a g
13,c'4 b8 [a] b [d'] b g
14,c'4 c'2 b4
15,c'4 c'4 b e'4
16,c'4 b8 [a] b [c'] d' e'
17,c'4 b4 e'8 [d'] c' b
18,c'8 [c'] b [a] c' [b] a g
19,a2 d'8 c' b a
20,a2. b4
21,a4 bes a8 [c'] a f
22,a2 (a8) [b] c' d'
23,a2 d8 [f] e d
24,a2. d'4
25,a4 a (a8) [a] g f
26,a4 a2 d'4
27,a2 (a8) [c'] b a
28,g4 a8 b c'2
29,g2 c'4 c'
30,g4 g4 c'2
31,g8 [g] a b c'4 c'4
32,g8 [d'] c' b c'4 c'
33,g4 g c' c'
34,g8 [g] c'8 b c'4 c'
35,g4 c'8 b c'2
36,g2 c4 c'4
37,c'4 b8 a b2
38,c'4 b8 a b4 a8 b
39,c'4 b4 (b8) a b4
40,c'8 [a] b [c'] b [c'] a b
41,c'4 c' b b
42,c'4 b2 a8 b
43,c'2 b2
44,c'2 b4 a8 b
45,c'8 [c'] b [a] b [b] a b
46,c'1
47,c'1
48,c'1
49,c'1
50,c'1
51,c'1
52,c'1
53,c'1
54,c'1
